Movie Name;Overall_Rating;Review_Title;Review_Date;Review_Text;Recommend 
Mamma Mia! (2008);8;Big, loud, silly and wonderful;13.07.2008;"Mamma Mia!"" is brilliant. Really brilliant. Such a crowd pleaser. An exuberant, energetic, sparking musical, full of timeless songs and a cast (step forward Meryl Streep) who attack their roles with true gusto. Big, loud, silly and wonderful. As bright and camp as Graham Norton and Dale Winton on a night out. Look in any dictionary under the phrase 'Feelgood Movie' and you will see ""Mamma Mia!"" writ large. They should prescribe ""Mamma Mia!"" on the National Health. Fixes all known ills.";yes
Mamma Mia! (2008);7;It's hard not to be drawn in by this film!!;16.07.2008;I heard a cynical reviewer give Mamma Mia a good review and I was intrigued to see whether the film could work the same trick on me. This is the sort of film that I'd generally hate. I'm really into intelligent films that make the viewer think. You couldn't get a film that's further from this genre than Mamma Mia. The plot consists of a soon to be bride trying to work out who is her father from three possible candidates that she discovers from her mothers diary. She invites all three to the wedding in order to find out who her father is. That's it in terms of plot.;yes
Mamma Mia! (2008);7;Fun and joy-able!;18.07.2008;"When I went to see this movie a week ago, I soon noticed that a majority of the audience were people who most likely listened to ABBA as youngsters. I didn't. I'm a fan of musicals, ever since I saw Moulin Rouge, but just a few minutes into ""Mamma Mia"" I wondered if this really was my scene? Wasn't this kind of silly? But after 15 minutes I was convinced: This wasn't any air headed, dumb musical for a middle aged pop-music-loving audience - this was a super cute, funny and joy-able musical for everyone. My boyfriend, which i dragged to the theater because he claimed he hated Abba, laughed out loud and so did I and the rest of the audience.";yes
Mamma Mia! (2008);7;"It's not the play; get over it and you'll enjoy it.";18.07.2008;"To enjoy this film, it helps to leave some expectations at the door. One is that ""ABBA sound."" This isn't it. That sound was created in a studio with a mixing board, etc. Some of that sound was in the stage play and it worked there because the majority of the audience is far enough from the stage to really think that gorgeous sound is coming from just the cast on stage. But when the camera is right in the actor's face, and that face is several stories high, the music must come from the singer.";yes
Mamma Mia! (2008);7;Fun and joy-able!;18.07.2008;"When I went to see this movie a week ago, I soon noticed that a majority of the audience were people who most likely listened to ABBA as youngsters. I didn't. I'm a fan of musicals, ever since I saw Moulin Rouge, but just a few minutes into ""Mamma Mia"" I wondered if this really was my scene? Wasn't this kind of silly? But after 15 minutes I was convinced: This wasn't any air headed, dumb musical for a middle aged pop-music-loving audience - this was a super cute, funny and joy-able musical for everyone. My boyfriend, which i dragged to the theater because he claimed he hated Abba, laughed out loud and so did I and the rest of the audience.";yes
Mamma Mia! (2008);10;Amazing acting, breathe-taking places. Great Singing. Brilliant all round;18.07.2008;"The film was in my opinion Amazing. The actors & actresses acted their roles so well & obviously put a lot of emotion and hard work into the film. The music was brilliant, the singing amazed me! I had no idea to expect what i'd seen. Some scenes have you crying with laughter, others have you in floods of tears, because of the emotion & the lyrics of the songs.. I would definitely recommend you go out & watch this. As soon as it began, i was obsessed. I've been back twice to see it, and I'm planning to go again soon. The music will have you singing along, and seriously trying to resist the urge to stand up and dance. :)
";yes
Mamma Mia! (2008);10;Wonderful;19.07.2008;"I didn't know what to expect when going into watch ""Mamma Mia"", was this gonna be another Hairspray or Across the Universe or Rent? This was a lighthearted, quite enjoyable movie of its own style, Meryl Strep blew the entire audience away with her comedic persona in this movie. After seeing her in Devil Wears Prada, you are shaken momentarily after seeing her climb on top a roof singing ""Mamma Mia!"" and swoon and the dance teenage giddy girl dance. You'll love this movie for trio of older woman characters, they were all so funny. Mr. James Bond's character and singing was such a hilarious delight for the audience, we couldn't believe this was the man who played a top secret spy agent.";yes
Mamma Mia! (2008);1;Utterly dreadful;19.07.2008;"Let's get one thing out of the way first: I used to really like ABBA's music, some of the songs are recognised classics of pop and their place in pop history is assured, but this film (and the stage 'musical' by association) has savaged that legacy. This movie is so contrived, ridiculous, awfully plotted and embarrassing, it should never have seen the light of day; it makes Alvin and the Chipmunks look like high art.";no
Mamma Mia! (2008);7;Cotton candy no good for tummy but sometimes good for heart;19.07.2008;Well -- it wasn't glorious fun, but I left the theater smiling and humming the music. And that's despite Phyllida Lloyd's nearly catastrophic turn as director. Who the hell decided just because somebody's directed a play on a stage they know how to direct a movie? Her clumsiness came damn close to ruining the film...as did the editor, who really must have been on coke at the time or else has a major case of ADD. I think it works better for a musical if you can see the numbers come together as all of a piece and not four-thousand, three-hundred and fifty seven different pieces, like they do on music videos.;yes
Mamma Mia! (2008);6;Really fun and Worth the price of admission;19.07.2008;We really enjoyed this film because we are big fans of ABBA, Mamma Mia, Meryl Streep, Colin Firth, Julie Waters, Christine Baranski and Pierce Brosnan. The dancing and acting was top notch, but as expected the bride and groom, and MS Baranski were by far the best singers. No one really expected the rest of the cast to be professional singers. The older generation was a bit too old to fit the story line and it was probably a mistake to mention the internet in one scene and then show pictures of a hippy past in the next. But the beauty of Mamma Mia is that the quality of the music is such that the next door neighbors could perform it and the audience would still be dancing in the aisles.;yes
Mamma Mia! (2008);6;Super Pooper;20.07.2008;Let me tell you. Just because I've been listening to ABBA almost non-stop since I saw MAMMA MIA! two days ago does not mean I enjoyed the film all that much. It's just the Swedish pop super group's music is so darn infectious. You would think that energy would translate to feel-great good time at the movies but sadly this is not the case. First time feature filmmaker, Phyllida Lloyd, spends far too much time dragging her feet when they should be dancing up and down the beach and no matter how many shots of the moonlight shimmering against the waves there are, the film is still a clunker instead of a stunner.;yes
Mamma Mia! (2008);7;That Just Happened!;20.07.2008;I manned up when my better 1/2 asked to go see this. I didn't put up a fight or whine or make comments I just said sure. I have zero experience with musicals let alone the source material for Mamma Mia! I don't know what I witnessed exactly but im not kidding when I say that I haven't smiled that much for no good reason well ever! You would have to be a sadist to hate this movie. Every performance by the actors made me believe that they were having a ball. Its dumb fun & having seen The Dark Knight the night before im glad I didn't see them back to back! Im pretty sure I would have had an aneurysm. If you cant stand musicals you will hate Mamma Mia but if you don't care one way or another & are open minded do yourself a favor go see it.;yes
Mamma Mia! (2008);7;That Just Happened!;20.07.2008;I manned up when my better 1/2 asked to go see this. I didn't put up a fight or whine or make comments I just said sure. I have zero experience with musicals let alone the source material for Mamma Mia! I don't know what I witnessed exactly but im not kidding when I say that I haven't smiled that much for no good reason well ever! You would have to be a sadist to hate this movie. Every performance by the actors made me believe that they were having a ball. Its dumb fun & having seen The Dark Knight the night before im glad I didn't see them back to back! Im pretty sure I would have had an aneurysm. If you cant stand musicals you will hate Mamma Mia but if you don't care one way or another & are open minded do yourself a favor go see it.;yes
Mamma Mia! (2008);5;Serves it purpose;20.07.2008;"With musicals on stage coming out left, right and centre it was no surprise that they would start to put them back into film. With the recent Sweeney Todd film setting the standard for musicals, the Abba musical had a lot to live up to. To start with this was not going to be artful masterpiece that Tim Burton created, this was going to be a feel good movie that was designed to entertain. For this it works, however the story behind this film is quite simply terrible, and the singing isn't up to the standard of the likes of Chicago. Julie Walters and Meryl Streep steal the show completely, they're worth watching and Streep's version of ""The winner takes it all"" is stunning.";no
Mamma Mia! (2008);6;"Halfway through ""The Winner Takes it All"", my resistance finally died";20.07.2008;Don't get me wrong. This is a bad film. The plot is poor and badly carried out. Some of the songs are appalling. Pierce Brosnan cannot sing at all. Colin Firth struggles. Story lines pop out of nowhere. In short, it's badly written, badly directed and has some of the worst singing ever heard in a cinema.;yes
Mamma Mia! (2008);6;I love this movie with a love bordering on the unnatural;21.07.2008;"I have a confession to make that could land me in serious trouble here. I love this movie with a love bordering on the unnatural. Of course, I hear you saying, that can only mean one thing; you're a gay man of a certain age and if you haven't come out of the closet already, you're coming out now, and wearing sequins at the same time.";yes
Mamma Mia! (2008);7;It knows who it is aiming for and what it has to do;21.07.2008;"However for what it does Mamma Mia is actually very good because it knows who it is aiming for and what it has to do. Yes this means that it is daft and cheesy but that sort of ""big"" cheerfulness is what the target audience want – they want to feel elated and lifted even if it isn't real in any form. In that regard the film delivers as it is built on beautiful colours in the sets and costumes and a cast that put their egos to one side and throw themselves into it.";yes
Mamma Mia! (2008);5;It's definitely a cheesy movie and far from perfect;21.07.2008;It's definitely a cheesy movie and far from perfect, but it's a fun watch with catchy songs (duh, it's ABBA). It's not too long nor too short, so it's a perfect movie to watch when you just want to relax and not think too much.;no
Mamma Mia! (2008);10;True to what it promises: A First-rate Crowd Pleaser;22.07.2008;"So, let me put it that way: Mamma Mia! is one of the most entertaining pieces of cinema that I have seen in a long, long time. Yes, it doesn't have the gorgeous stylization of Moulin Rouge or the raunchiness of Chicago, but in its own way, it's just amazing. The simple presentation is backed up by a fantastic cast, a heartwarming story about love and the meaning of family, and a bunch of beautiful songs. Watching this film was one of the most beautiful movie-going experiences I had; I saw it 3 times in packed theatres, where audiences were quiet when they needed to be, and active and responsive otherwise. In those three times, the first Dancing Queen number got wild applause by the minute it was over, a proof of the entertainment value of the film. And near the end, when Donna looks at the screen and asks why everyone is still there while the credits are rolling, she says ""do you want one more song?"" and the entire audience would scream ""YEAH"". This is a first-rate crowd pleaser; a film that takes you into its world until you feel you are part of it. What an achievement.";yes
Mamma Mia! (2008);8;I don't like musical movies at all, but I have to admit that this movie was good !;22.07.2008;What made the movie enjoyable for me were the music, the visuals, and, surprising to me, Meryl Streep. I usually don't like Streep's movies or her performances. Her films tend to contain subject matter I don't care for, and, often, they are preachy in a way that I find disagreeable. The tendency to underplay a role is normally a desirable quality in an actor. Unfortunately, she underplays to barbiturate levels.;yes
Mamma Mia! (2008);2;The cinematic equivalent of water boarding;24.07.2008;It was a silly juke box musical on stage, now it's a big, splashy, poorly shot screen juke box musical. If you like ABBA, so-so. If not, an assault on the senses and an insult to whatever intelligence you're left with when you exit the theater. I readily admit that I didn't really want to see this movie and went with some friends who did, but for the love of God. Why does my gender shriek and squeal to convey delight? Ever sit next to a table of women who have had too much to drink and are absolutely determined to have GREAT night out on the town? That's the feeling of this whole project. It just felt so good when it stopped.;no
Mamma Mia! (2008);8;A Joy From Start To Finish!;24.07.2008;However, i left my cinema with a sense of joy at what i had witnessed, not only is this one of the best films of the year, it is possibly one of the best films to come out of the '00's' Meryl Streep, though a little old for her part was as usual, on top form with an amazingly powerful and emotional voice. Her acting, whilst not on a par with The Devil Wears Prada, was excellent.;yes
Mamma Mia! (2008);6,5;A must-see for fans of ABBA;25.07.2008;If you're a fan of ABBA, then you need to see this movie. It's a love letter to the band, and it's full of their greatest hits. The cast is amazing, and the story is heartwarming. I would definitely recommend it.;yes
Mamma Mia! (2008);1;Disaster!;25.07.2008;it is one of the worst movies I've ever seen. Let me think... mm, nope, I'm wrong, it's the worst movie I've ever seen. Think about it, Streep singing and dancing, so Brosnan. (of course if you can consider those funny movements as dancing and awkward sounds as singing.) What can I say? Worst movie and except Amanda Seyfried and Colin Firth, worst cast ever.;no
Mamma Mia! (2008);1;If you want to listen to the music, go buy a CD!;25.07.2008;"My mother and I decided to watch this movie together. We both are ABBA fans and loved the ""Mamma Mia!"" musical. This movie is nothing like it. The one thing that got me was how much everyone seemed to over act. There was so much cheese in it that I wanted some wine, or maybe that was to get past the awful singing! Pierce Brosnan never needs to sing again. He just needs to stand and look pretty. I will respect him for that.";no
Mamma Mia! (2008);1;This is the one that almost got me divorced!!!;29.07.2008;"MY wife ( who never goes to movies) said lets go see Mamma Mia on our 15th wedding celebration and I unwittingly said yes. Now understand I love chick flicks like Sleepless, you've got mail etc. , but I was not prepared for this movie. I looked it up and saw comedy, Pierce Bronson etc and thought ""OH OK'. I will never trust PIERCE again and will read every review before saying OK again. I was in so much pain that a person behind us asked me to stop talking during the show and I was MOANING. Meryl Streep was SINGING. Pierce was screeching. The sound volume was so loud it hurt my ears ( I am hard of hearing) . The only cast member who belonged in this movie was Christine Baranski who kept it from 0.";no
Mamma Mia! (2008);6,5;A fun and frothy musical;30.07.2008;Mamma Mia! is a fun and frothy musical that is sure to please fans of ABBA. The cast is great, the songs are catchy, and the story is lighthearted. It's the perfect summer movie.;yes
Mamma Mia! (2008);3;Oh dear.........;31.07.2008;Just got back from an afternoon screening of this film. Even though the film has been showing for almost three weeks now, the cinema was PACKED with (mostly) over 50s. Firstly, I am a HUGE fan of ABBA (have been since the early 70s, even before their Eurovision win) and I so wanted to enjoy this film but I'm afraid that I felt like watching it with my hands covering my face and peeking through my fingers, such was my embarrassment! Overacted to the extreme by all concerned it is truly cringeworthy. The dreadful Julie Walters was the usual awful hammy, mugging Mrs. Overall persona that she always is (you may have guessed that I can't STAND this particular 'national treasure'.I really had to force myself to go to see it knowing that this ghastly woman was in it.) The music is actually tolerably sung by most of the cast (with the exception of Pierce Brosnan) but the 'OMG' hystrionics of the actors to show that they are having 'fun' is just appalling. Incidentally, not one person in the cinema laughed at the 'funny' bits. All in all, a miscast (the leads were WAY too old) misfire and one that any discerning cinema goer will find poor.;no
Mamma Mia! (2008);6,5;Feel-good movie of the year;01.08.2008;I have to admit, I'm not a huge fan of musicals, but I was pleasantly surprised by this one. The cast is great, the songs are catchy, and the story is heartwarming. It's the perfect movie to watch when you need a little pick-me-up.;yes
Mamma Mia! (2008);1;Painful !!!!!;02.08.2008;This is one of the worst films i have ever seen.;no
Mamma Mia! (2008);6;Lots of foot tapping;05.08.2008;We're seeing normally non-musical actors bursting into song and dance. It's just us. Meryl Streep has never seemed to be having so much fun as she does here. Brosnan, Firth, and Skarsgard also clearly relish the chance to do something they haven't done before. Amanda Seyfried. has always shown the kind of spark that suggests a star in the making. This is undoubtedly a breakthrough performance, as she brings charm, sweetness, and charisma to the role of Sophie.;yes
Mamma Mia! (2008);6;Pales in comparison to the stage production;07.08.2008;"I have seen Mama Mia twice on stage, and it is one of my favorite musicals, so I could barely wait to get to the theater to see it as a full feature film. Unfortunately, the movie was quite disappointing to say the least. I felt the casting of the characters was weak and poorly represented the characters as originally written. Donna was always portrayed as spunky and attractive though overworked and exhausted, and Meryl Streep just didn't have that ""umph"" to her. Pierce Brosnan had the look of Sam, but his singing was terrible. When adapting a musical to the big screen, quality of singing voice should be given more consideration. There are so many amazing actors with phenomenal voices, I can't understand why they didn't cast a little more carefully. There were also songs from the stage production that were not included in the movie including my favorite, ""Thank you for the Music"". I kept waiting for it to be thrown in somewhere along the way, but it was not included at all. While I wouldn't say the movie was terrible, I think if you have seen it live on stage, prepare to be disappointed.";yes
Mamma Mia! (2008);6;Pales in comparison to the stage production;07.08.2008;"I have seen Mama Mia twice on stage, and it is one of my favorite musicals, so I could barely wait to get to the theater to see it as a full feature film. Unfortunately, the movie was quite disappointing to say the least. I felt the casting of the characters was weak and poorly represented the characters as originally written. Donna was always portrayed as spunky and attractive though overworked and exhausted, and Meryl Streep just didn't have that ""umph"" to her. Pierce Brosnan had the look of Sam, but his singing was terrible. When adapting a musical to the big screen, quality of singing voice should be given more consideration. There are so many amazing actors with phenomenal voices, I can't understand why they didn't cast a little more carefully. There were also songs from the stage production that were not included in the movie including my favorite, ""Thank you for the Music"". I kept waiting for it to be thrown in somewhere along the way, but it was not included at all. While I wouldn't say the movie was terrible, I think if you have seen it live on stage, prepare to be disappointed.";no
Mamma Mia! (2008);10;"""Mamma Mia!"" Says (Sings) It ALL!";19.08.2008;"""Mamma Mia!"" radiates rainbows of infectious energy, in part owing to its array of ABBA songs. The champagne frothy, transcendental music of ABBA imbues this innocuous movie with lighter-than-helium buoyancy. Indeed, audiences could literally dance in the aisles for the movie seems like a concert with a plot. Director Phyllida Lloyd keeps those few quiet, introspective moments of intimacy to a minimum. Although ""Mamma Mia"" is a chick flick, it is neither a heartbreaker nor a tearjerker. Nobody dies from a sudden bout of cancer. Furthermore, this madcap comedy of errors doesn't have a dull moment. Meryl Streep, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Julie Walters, and Christine Baranski must have been dosed up with Ritalin. Rarely do they sit around and talk. They are dancing, singing, and cavorting about a scenic Greek island, and they look like that had a terrific time. What makes ""Mamma Mia!"" so enjoyable is the elaborate way that the ABBA tunes have been worked in to compliment the film's themes. The cast, especially 59-year old Streep, does a great job of belting out chartbusters like ""Super Trouper,"" ""Dancing Queen,"" ""Knowing Me, Knowing You,"" ""Thank You for the Music,"" ""Money, Money, Money,"" ""The Winner Takes It All,"" ""Voulez Vous,"" ""I Have a Dream,"" and ""SOS."" Moreover, the resolution to the mystery of Sophie's dad and the surprises that occur as a result will keep you guessing. If you missed taking a summer vacation, you can take a chance on ""Mamma Mia!"" The lush Greek scenery, the entertaining storyline, and the enchanting performances will transport you out of the doldrums.";yes
Mamma Mia! (2008);7;fun feel good movie;19.08.2008;Besides being visually pleasing...the cast was superb. Meryl streep is such an amazing actress, so diverse and never disappointing. Colin firth as the 'spontaneous' hippie is hilarious. and pierce Bronson is fabulously handsome and romantic . the music was also great fun, made me feel like i was watching a bollywood movie.;yes
Mamma Mia! (2008);10;Simply amazing!;12.09.2008;"Well, what can i say? This movie is one of the best movies i've seen in on a big screen so far! I don't particularly like musicals, but man this one is awesome! All the songs that have been chosen for it are great and popular so it was no surprise that all the time the audience was singing along with the actors :) The whole time the faces of the people around me were lightened up with a smile and everyone was happy! Me..... i had the chills going down my spine pretty much most of the time :) No one stood up before the final credits were shown and everybody was simply sitting down listening to the music, happy by the unexpected joy this movie brought them ;) I strongly recommend this piece to everyone regardless of age and genre preferences, cause i really believe that this movie is so good that there's no way not to fall in love with it! :)";yes
Mamma Mia! (2008);9;Feel Good Movie of the Year;16.09.2008;This movie is great fun and I can't believe all the people and critics complaining about the lame plot and lack of character development, This is Mama Mia what the heck. It's fast paced and fun. Highly recommended.;yes
Mamma Mia! (2008);10;Frivolous fun!;26.09.2008;Okay, so here we have an entirely implausible storyline shaped into unashamedly enjoyable cinema experience. Personally, I hate going to movies, just because they are so expensive these days. I went to see this one twice... People in the audience were laughing out loud, clapping and enjoying themselves. Isn't that what we go to the movies for, to be entertained? Admittedly, Pierce Brosnan can't sing... so what? He was a ton of fun. The leading ladies (Streep, Walters and Baranski) seemed to be having such a good time... there is not much sexier than mature women having fun and being the mature women they are... The characters looked and acted seasoned, which was quite refreshing.;yes
Mamma Mia! (2008);10;"Breath Taking

";29.09.2008;I can't stop singing the musics and remembering the scenes.;yes
Mamma Mia! (2008);7;Aren't the actors too old?;05.10.2008;It really was a wonderful movie. I enjoyed it thoroughly. Great cast, and I loved the musical selections. I sang along and knew most of the words. Amanda Seyfried was just lovely, and very talented.;yes
Mamma Mia! (2008);9;Wonderful nostalgia;07.10.2008;It's so amazing to see the chemistry between Meryl Streep and Pierce Brosnan, her performance as Donna is so cool, cheerful, full of life and also touching but not overwhelming, she raised her daughter Sophy as a single mom struggling with financial issues but never lose faith and optimism managing a small resort place somewhere in the mystic Greece. I enjoyed to watch this movie with one of my best friends, both of us are married and have family, we shared a little space of time for going to the movies and have a good time with Mamma Mia, we sang, we laughed and we also remembered wonderful times with those timeless songs of Abba. Excellent choice with Meryl Streep, I can't imagine this film without her and Pierce Brosnan was surprising when he sang.;yes
Mamma Mia! (2008);8;Fun! Fun! Fun!;09.10.2008;"I get a kick out of all the people that come on this board to bash this movie when clearly they don't like musicals by their own admission. That would be like me critiquing a horror film - I despise horror films so it would be hard for me to find anything redeeming about one. So why people insist on seeing a film in a genre that they knowingly do not like or appreciate, and then proceed to criticize it, is beyond me! Anyway, regarding the movie - Here's the good: 1) The location and cinematography - absolutely breathtaking! It makes a person want to seriously consider Greece as their next vacation destination. I'm sure the Board of Tourism in Greece couldn't be happier with this film. 2) Singing talent - while many have roundly criticized the choices for the leads in this film, I find the fact that Meryl Streep and Pierce Brosnan and a few others aren't trained singers rather endearing. In fact, I found Meryl Streep's rendition of ""Slipping Through My Fingers"" more emotional than any stage version I've seen and even the original song. And to improve upon Agnetha Faltskog's voice/version is a tall order indeed! The young actor/singer who plays Sophie (Amanda Seyfried) is beautiful and has a lovely, angelic voice. Visually, she is a believable casting choice to play Meryl Streep's daughter and I thought they had good on-screen mother-daughter chemistry. 3) The Plot - Yes, it's thin and silly and frothy, but that's what makes it so fun! I mean, think about it. Any time you watch a musical, you have to suspend disbelief. When in real life does anyone ever belt out a song and dance in the middle of a conversation (with backup singers to boot)? And besides, who amongst any of this film's viewers doesn't know and understand the fact that this plot was created from stringing a number of unrelated ABBA tunes together? Since the process of matching music to the plot is reversed from the normal way, I'm amazed that they were able to create as cohesive a story as they did. 4) The dancing bachelor party boys - Yea! the film left the flipper-flaunting boys (from the stage version) in the scene for ""Lay All Your Love on Me"". I looked around the theater when the boys first appeared and I couldn't find a single person who was not laughing or at least grinning from ear to ear!";yes
Mamma Mia! (2008);10;My, My What A Movie!!!;10.10.2008;Being such a huge ABBA fan, I went with my WHOLE family - there were 13 of us (plus kids) and we all had a really good time.;yes
Mamma Mia! (2008);1;Mamma Mia is trivial, superficial and left me numb.;24.10.2008;I cannot remember a more trivial, mind numbing and shallow film in other words a real chick flick of the worst kind. How can anyone watch this film and recommend it to others ? Only if they don't like admitting they made a mistake. It seems to summarise the worst of female aspirations. No real substance to it all happy and shallow. Yeah that'll please the masses. Well not this member of the masses. What a trivial load of drivel. I wanted to leave the cinema within 5 minutes of the start. And to think I paid £7 to see this ! I think this does however represent the dumbing down of cinema as with most media these days. So I like a bit of reality in my musicals call me sad or what ?;no
Mamma Mia! (2008);9;You will need Onomatopoeia to describe the Euphoria of this movie;26.10.2008;"Those Doodley-Doodley-Do, Dippy-ti-Dippy-ti-Du melodies, combined with a Humpty-Dumpty tiny precious lyrics, made my brain wonder ""Uh-Huh"" in surprise, and my lips to mutter ""Oh-WOW"" in amazement until my mouth burst in ""Ah - Hah - Ha-Ha-Ha"" happy girlie giggle. That's when my heart started going Rum-Tum-Tum along the bas-line, my pulse started jumping Bum-Bum-Bum in the tact with the disco rhythm, my skin started itch-itch-itching from those pulsations, my stomach started hush-hush-hushing down the noisy butterflies but it couldn't stop my soul from screaming ""Hip-Hip-Hooray"" and ""Yippie-Yippie-YEAH"" from the immense joy and pleasure! Simply amazing...";yes
Mamma Mia! (2008);7;Just like ABBA's music, you'll either really like or just hate this movie.;02.11.2008;Right after having seen this movie I still feel like I could go either way on it. I could completely pick this movie apart and blast it for its silly story, weak directing and whatever more but truth is that this movie is simply harmless fun, that you can either hate on or just surrender yourself to.;yes
Mamma Mia! (2008);9;Incredible, unexpected;14.11.2008;"What a wonderful film. I can't write in English all the feelings that this film makes me feel. I don't know who's the responsible of the excellence: the writer (Bill Goldman agrees that) the director, the actors, the music, the production designer... but don't matter. The film makes me laugh, cry, feel, sing, dance... and think. I believe that to make a musical film with a high percent of time singing and dancing is not an easy job in the time of our days. Endue a continuity, a story, to a collection of independent and existing songs seems to me an incredible ""tour de force"". And the filmmakers achieve this with success. I know that this kind of film can't be ""Citizen Kane""... Or yes?";yes
Mamma Mia! (2008);10;One Hell of a Trip Down the Aisle.......;20.11.2008;Think of an amusement park or fairground ride, that catches your attention, and draws you to it. You get on, the ride starts, the excitement builds, and off you go. It holds you entranced, the rush is incredible! Then suddenly you realize that it has finished, time to get off. Really, you have only one choice: to get back on it again. That pretty much sums up Mamma Mia! Despite all the hype, I was not disappointed-no way! Forget any negative comments you might have heard about Pierce Brosnan's singing ability. THe more you watch, the better he gets, (an acquired taste, perhaps!) I have one recommendation though: See it on a big screen.;yes
Mamma Mia! (2008);7;Love, music & a good story conquer all;09.12.2008;First and most importantly: Those ABBA people are great songwriters. The storyline is compelling, good-feeling and tugs on the right heartstrings…enough to overcome the disappointments which mostly involve the casting of well-known and well-loved but non-musical performers in musical roles. Further casting issues: actors who are older than the parts they are playing and a lack of chemistry which kept me from believing the story.;yes
